"","ID","quarter","course level","prompt","age","gender","L1","other L1s","L at home","L studied","listening","reading","speaking","writing","lived in Span-speaking co","level","first_person_verb","second_person_verb","third_person_verb","total_main_verbs","total_verbs","Indicative_mood","Subjunctive_mood","Imperative_mood","Participle_mood","Gerund_mood","Infinitive_mood","Present_tense","Imperfect_tense","Future_tense","Preterit_tense","Conditional_tense","ADJECTIVE","CONJUNCTION","DETERMINER","NOUN","PRONOUN","ADVERB","ADPOSITION","VERB","NUMBER","DATE","INTERJECTION","PUNCTUATION","mtld","NumAdj","NumVb","NumTokens","self_assessment_score"
"27",103347,"W18","SPA 2","vacation","21","Female","Other","Hmong","Hmong","English, 17 years",3,2,1,2,"No",2,17,0,22,39,64,39,0,0,5,0,20,33,0,0,3,3,12,26,35,64,14,9,33,64,0,0,0,41,59.0854866494401,16,43,263,8
"28",103720,"S19","SPA 2","terrible","24","Male","English","n/a ","n/a ","I took latin for a year in high school",3,3,2,2,"No",2,19,0,28,47,65,45,2,0,5,1,12,6,18,0,22,1,15,25,37,41,24,22,25,65,1,0,0,33,80.1306141154904,15,43,255,10
"29",103720,"W19","SPA 1","terrible","24","Male","English","n/a","None","Latin, 2 years",2,3,2,2,"No",1,15,0,11,26,36,26,0,0,5,1,4,20,3,0,3,0,8,11,17,28,21,15,14,36,3,0,0,23,47.8437430952862,10,26,153,9
"30",104351,"S18","SPA 3","vacation","21","Female","English",NA,"No","French; 3 years in high school.",3,3,2,2,"No",3,14,0,20,34,67,32,2,0,8,1,24,22,1,0,0,11,19,20,40,62,24,13,36,67,1,0,0,33,83.3228057724154,20,51,277,10
"31",105806,"S18","SPA 1","vacation","21","Female","English",NA,"Cantonese","Cantonese- 6 years
Mandarin- 4 years",3,2,2,3,"No",1,14,0,7,21,37,21,0,0,0,1,15,18,0,2,1,0,12,11,19,44,4,11,25,37,0,1,0,26,83.7764900662252,12,23,167,10
"32",107667,"S18","SPA 3","vacation","22","Female","English",NA,NA,NA,2,3,3,3,"No",3,11,0,24,35,49,34,1,0,2,0,12,34,0,1,0,0,23,16,44,72,16,7,22,49,0,0,0,40,41.5255184006979,21,32,250,11
"33",108498,"W18","SPA 3","vacation","22","I do not identify with either genders","English",NA,NA,NA,3,3,2,3,"No",3,11,0,10,21,21,21,0,0,0,0,0,14,1,0,1,5,7,13,21,50,4,4,17,21,1,0,0,24,53.8992826113559,8,13,139,11
"34",108972,"S18","SPA 22","vacation","23","Male","English,Other","Arabic",NA,"American Sign Language 3 years

Arabic 1 year academic, mild cultural proficiency ",3,2,2,3,"No",22,3,0,30,33,49,32,1,0,6,0,10,16,0,0,0,17,16,21,42,70,15,18,41,49,1,0,0,40,80.299588166888,20,31,287,10
"35",109543,"SU17","SPA 2","vacation","21","Female","English",NA,NA,NA,3,3,2,3,"No",2,15,0,20,35,42,35,0,0,1,0,6,34,0,0,1,0,13,12,54,80,24,3,35,42,1,0,0,45,29.3215340363914,11,32,265,11
"36",109910,"SU17","SPA 3","vacation","22 Yeas of Age","Male","English",NA,"No other language is spoken at home other than English ","I studied French in High School for four years.",3,3,2,3,"No",3,18,0,28,46,64,45,1,0,0,1,17,30,6,6,1,3,12,26,36,63,18,16,37,64,0,0,0,36,66.4587002274873,17,38,273,11
"37",110889,"W18","SPA 2","vacation","21","Female","English",NA,"Farsi","French, studied it for about six years",3,2,3,4,"No",2,17,0,17,34,69,33,1,0,4,0,31,22,0,3,2,7,16,15,34,69,12,13,36,69,1,0,0,52,128.77808988764,19,55,265,12
